#{"t_start": 1788542995.4796824, "env_id": "None"}
r,l,t
1.25,5,3.085928
-0.25,2,3.099452
-0.25,2,3.113689
0.25,3,3.133388
-1.25,1,3.140792
0.25,3,3.162127
-0.25,2,3.175467
-0.75,1,3.182415
-0.75,1,3.189061
-1.25,1,3.195878
-0.75,1,3.202813
-0.25,2,3.215896
0.25,3,3.235714
-0.25,2,3.24816
-0.75,1,3.253515
-0.25,2,3.265144
0.75,4,3.288608
-1.25,1,3.294348
-0.75,1,3.300574
-0.25,2,3.312098
0.75,3,3.329302
-0.75,1,3.335238
0.75,3,3.352459
-0.75,1,3.358149
3.75,6,3.388902
-4.25,6,3.424133
-0.75,1,3.430273
0.25,3,3.442615
4.75,7,3.465926
-0.25,2,3.472978
-0.75,1,3.476557
-0.75,1,3.480288
0.25,3,3.490619
-0.25,2,3.497665
0.75,3,3.51001
-0.75,1,3.513757
-1.25,1,3.517271
-0.75,1,3.522727
3.75,6,3.54609
-0.75,1,3.549732
-0.75,1,3.553491
0.25,3,3.569494
-0.75,1,3.576003
-0.75,1,3.582783
0.75,3,3.600436
-0.75,1,3.606806
-0.25,2,3.618042
1.75,4,3.641725
-0.75,1,3.647589
-0.75,1,3.654277
-0.25,2,3.667962
-0.25,2,3.680971
-0.25,2,3.693232
1.75,4,3.717113
1.75,4,3.741224
-0.25,2,3.755019
-0.75,1,3.762407
-0.75,1,3.769684
-0.25,2,3.783288
5.75,14,3.865467
-0.75,1,3.871041
-0.75,1,3.877349
-1.25,1,3.884294
1.25,5,3.914261
-0.75,1,3.920474
-0.75,1,3.926047
-1.25,1,3.93207
-0.75,1,3.938129
0.25,3,3.956454
-0.25,2,3.968929
-0.75,1,3.975447
-0.25,2,3.986826
-0.25,2,3.997586
-1.25,1,4.004049
-0.25,2,4.014364
0.75,4,4.033124
-1.25,1,4.036345
-0.25,2,4.043541
0.25,3,4.052098
-0.75,1,4.055825
-0.25,2,4.061844
-0.75,1,4.065159
-0.25,2,4.077134
-0.75,1,4.083875
-1.25,1,4.090264
-0.25,2,4.101822
-0.75,1,4.107989
-0.25,2,4.11845
-0.25,2,4.129019
-1.25,1,4.134549
-0.75,1,4.140414
-0.75,1,4.14706
-0.75,1,4.153084
-0.75,1,4.159725
-0.25,2,4.172906
-0.75,1,4.178544
-0.25,2,4.189757
-0.25,2,4.201354
-0.75,1,4.20754
-0.75,1,4.214009
-0.75,1,4.221063
-0.75,1,4.22744
