#{"t_start": 1788756738.2250724, "env_id": "None"}
r,l,t
0.75,1,4.183859
-0.75,1,4.186448
0.75,1,4.189097
0.75,1,4.191753
0.75,1,4.194259
-0.25,1,4.19682
-0.25,2,4.20153
-0.25,2,4.206395
0.75,1,4.208818
0.25,3,4.21496
0.75,1,4.217082
-0.25,2,4.221204
0.75,1,4.223341
0.75,1,4.225535
-0.75,2,4.229524
-0.75,1,4.231742
-0.25,2,4.235943
-3.25,5,4.2473
-0.25,2,4.251803
0.75,1,4.254169
-0.75,1,4.256534
-0.75,1,4.258874
-0.25,2,4.263069
0.75,1,4.265272
0.75,1,4.267438
-0.25,1,4.269559
-0.75,1,4.271629
-0.25,2,4.275394
-1.25,3,4.2807
0.75,1,4.282999
0.75,1,4.28539
-0.75,1,4.287961
-0.25,1,4.29029
-0.25,2,4.294528
-0.25,2,4.298541
-0.25,2,4.302701
-0.75,1,4.304914
-0.25,2,4.308873
-0.75,2,4.312771
-0.25,1,4.314887
-1.25,3,4.320546
1.25,5,4.331301
-0.25,2,4.335886
0.75,1,4.338274
-0.75,1,4.340643
-0.75,1,4.342877
-0.25,2,4.34702
-0.75,1,4.349266
-1.25,2,4.353277
0.75,1,4.355379
-0.75,1,4.357488
-0.25,2,4.361373
-0.25,2,4.365373
-0.75,3,4.37206
-1.75,5,4.382018
-0.25,2,4.386189
-0.25,2,4.390115
-1.25,3,4.395709
0.75,1,4.397787
-1.25,2,4.401705
0.75,1,4.403777
-0.25,2,4.407841
0.75,1,4.41042
-0.25,2,4.415775
-0.25,2,4.420572
0.75,1,4.4231
-0.75,1,4.425897
0.75,1,4.428621
0.75,1,4.431349
0.75,1,4.43418
0.75,1,4.436851
-2.25,4,4.445604
2.75,8,4.463311
-0.25,1,4.465729
-0.25,2,4.470118
0.75,1,4.472386
0.75,1,4.474558
-1.25,2,4.478556
-0.25,2,4.482328
-0.25,2,4.486223
-0.75,2,4.49019
-0.25,1,4.492332
0.75,1,4.494529
0.75,1,4.496883
-0.25,2,4.50142
0.75,1,4.503796
-1.25,3,4.510046
-2.25,4,4.517885
0.75,1,4.520049
0.75,1,4.52206
-0.25,2,4.526006
0.75,1,4.528111
-0.25,2,4.532068
-0.75,1,4.534212
0.75,1,4.536192
-4.25,5,4.546167
0.75,1,4.548536
0.75,1,4.550899
0.75,1,4.553048
0.75,1,4.555187
-0.25,2,4.558965
-1.25,2,4.562807
0.75,1,4.56491
-0.75,1,4.567065
-0.25,1,4.569276
-0.75,1,4.571406
-0.25,1,4.573553
-1.25,2,4.577252
-0.75,1,4.57945
-0.25,2,4.588718
-0.75,1,4.592655
0.75,1,4.595515
0.25,3,4.602744
-0.25,2,4.609922
-0.25,2,4.615108
-0.75,1,4.617749
0.75,1,4.620226
-0.75,1,4.622549
-0.25,2,4.627075
-0.75,1,4.629565
-2.25,4,4.638266
-0.25,2,4.642334
-4.25,6,4.653694
-1.25,2,4.657783
-1.25,2,4.661608
-0.75,1,4.663782
0.75,1,4.665839
0.75,1,4.668166
-0.75,1,4.670578
0.75,1,4.673071
0.75,1,4.675392
0.75,1,4.677654
-0.75,1,4.679949
-2.25,3,4.685662
-1.25,2,4.690192
0.75,1,4.692704
-0.75,1,4.695138
0.75,1,4.697568
-0.25,1,4.699817
-0.25,2,4.703741
-1.25,3,4.709521
-0.75,1,4.712048
-3.75,6,4.724378
-0.75,1,4.726548
-0.75,1,4.728717
-1.25,3,4.734513
-0.75,1,4.736728
0.75,1,4.738835
0.75,1,4.74094
-0.75,1,4.743045
0.75,1,4.745139
0.75,1,4.7472
-0.25,2,4.750808
0.75,1,4.753027
-0.75,2,4.757598
-0.25,1,4.759981
-0.75,1,4.762224
0.75,1,4.764376
-0.25,1,4.766606
-0.25,2,4.770879
-0.25,1,4.773156
0.75,1,4.775377
-0.75,1,4.777646
0.75,1,4.7799
-0.25,2,4.783826
0.75,1,4.78585
-0.75,1,4.787959
0.75,1,4.790018
0.75,1,4.792161
-1.25,3,4.798374
-0.25,1,4.801
-0.25,2,4.80531
0.75,1,4.807533
0.75,1,4.809824
0.75,1,4.812034
-0.25,2,4.816124
0.75,1,4.81833
0.75,1,4.820468
0.75,1,4.822689
-0.25,2,4.826512
0.75,1,4.828583
-3.25,4,4.835643
0.75,1,4.837893
-1.25,3,4.845416
-0.75,1,4.84788
-0.75,1,4.850297
-0.75,1,4.852697
0.75,1,4.854943
-0.25,2,4.859399
-1.25,2,4.863657
-0.75,1,4.865867
-2.25,3,4.871691
-0.75,2,4.875558
-1.25,3,4.881787
-0.25,1,4.884418
-0.75,1,4.886744
0.75,1,4.888919
0.75,1,4.891136
0.75,1,4.893448
0.75,1,4.895577
-0.25,1,4.897788
-0.25,2,4.901722
-0.25,2,4.905594
-0.25,2,4.910078
-1.25,3,4.916936
-1.25,2,4.921106
-0.25,1,4.923584
-1.25,3,4.930262
-0.25,2,4.934614
0.75,1,4.937057
-0.75,1,4.939365
0.75,1,4.941655
0.75,5,4.951361
-1.25,2,4.955425
0.25,3,4.96097
-0.25,1,4.963048
-0.75,1,4.96524
-0.75,1,4.967807
-0.25,2,4.972386
-0.25,2,4.976599
-0.25,2,4.980801
0.75,1,4.983013
-0.75,1,4.985201
-0.75,1,4.987408
-0.75,1,4.9897
-0.75,1,4.991879
-0.75,2,4.995912
-0.25,2,4.999862
-3.25,4,5.007138
0.75,1,5.009822
-0.75,1,5.01229
0.75,1,5.014581
-0.25,2,5.018961
-0.75,2,5.023049
0.75,1,5.025218
-0.25,1,5.027273
-0.25,2,5.031049
0.75,1,5.033205
0.75,1,5.035259
-0.25,1,5.037317
0.75,1,5.039438
-0.75,1,5.041484
0.75,1,5.043604
0.75,1,5.045576
-0.25,2,5.049228
-1.25,3,5.055164
-0.25,2,5.059444
0.25,3,5.065365
0.75,1,5.067497
0.25,3,5.073178
0.75,1,5.075337
0.75,1,5.07737
0.75,1,5.07936
0.75,1,5.081322
-2.25,3,5.086432
-0.75,1,5.088392
-0.25,1,5.09019
0.75,1,5.092129
-2.25,3,5.097993
0.75,1,5.100373
-0.25,2,5.105443
-1.25,3,5.112649
-0.75,1,5.115659
-0.25,1,5.119078
-0.25,2,5.124225
-3.25,4,5.132611
0.75,1,5.134942
-0.25,2,5.139315
0.75,1,5.141794
-0.25,2,5.145924
0.75,1,5.148101
-0.75,1,5.150271
0.75,1,5.152464
0.75,1,5.154717
-0.25,2,5.158616
0.75,1,5.160816
0.75,1,5.162966
-0.75,1,5.165059
-1.25,3,5.170834
-1.25,2,5.174791
0.75,1,5.176899
-1.25,2,5.181059
0.75,1,5.183537
0.75,1,5.18607
-0.25,2,5.190497
0.75,1,5.193082
-0.75,1,5.195544
-1.25,3,5.202215
-0.25,2,5.20651
0.75,1,5.208718
0.75,1,5.210857
-0.25,2,5.214768
-0.75,1,5.216828
-0.25,2,5.220771
-0.75,1,5.223062
0.75,1,5.481527
-0.25,2,5.486006
-0.75,1,5.488289
-0.75,1,5.490388
-0.25,2,5.494317
-0.25,2,5.498206
-0.25,1,5.500337
0.75,1,5.502432
-0.75,1,5.504547
-0.75,1,5.506627
-0.25,2,5.510536
0.75,1,5.51251
-0.25,2,5.516211
-2.25,4,5.524246
0.75,1,5.526853
-0.25,2,5.531154
0.75,1,5.533399
0.25,3,5.539547
-0.25,2,5.543474
0.75,1,5.545558
0.25,3,5.551258
-0.25,2,5.554935
0.75,1,5.55708
0.75,1,5.559212
0.75,1,5.561305
0.75,1,5.563571
0.75,1,5.565918
0.75,1,5.568326
-0.25,2,5.572447
0.75,1,5.574618
-0.25,2,5.578569
-0.75,2,5.58258
0.75,1,5.584908
0.75,1,5.587349
0.75,1,5.589482
-0.25,1,5.591584
-0.25,2,5.595179
0.75,1,5.59717
0.75,1,5.599085
-0.75,2,5.602884
-1.25,3,5.609061
0.75,1,5.611571
-0.25,2,5.615721
-1.25,3,5.621945
0.75,1,5.624063
-0.75,1,5.626229
0.75,1,5.628349
-1.25,2,5.632295
0.75,1,5.634349
-1.25,3,5.639557
0.75,1,5.641598
0.75,1,5.643522
0.75,1,5.645397
-0.25,2,5.649325
0.75,1,5.651622
-1.25,2,5.655898
0.75,1,5.65797
-0.25,2,5.661977
-0.75,1,5.664227
-0.75,1,5.666331
0.75,1,5.668498
-0.75,1,5.670525
0.75,1,5.672596
-0.25,1,5.674551
-0.75,1,5.676593
0.75,1,5.678568
0.75,1,5.680564
-0.25,2,5.684282
-0.75,1,5.686284
0.75,1,5.688222
-0.25,2,5.69208
0.25,3,5.697698
0.75,1,5.699818
0.75,1,5.702062
0.75,1,5.704373
-0.25,2,5.708474
-0.25,1,5.710609
-0.25,2,5.714439
-0.25,2,5.718419
-0.75,1,5.720545
0.75,1,5.722586
0.75,1,5.72474
0.75,1,5.72683
0.75,1,5.728951
-0.25,1,5.730942
0.75,1,5.733126
-0.25,1,5.735276
0.75,1,5.737722
-0.75,2,5.741997
-1.25,3,5.748056
0.75,1,5.750189
0.75,1,5.752268
-0.75,1,5.754369
-0.75,1,5.756368
-0.25,2,5.760334
-0.25,2,5.764026
-1.25,2,5.767796
-1.25,2,5.771749
0.75,1,5.773764
-0.25,1,5.775898
0.75,1,5.778242
0.75,1,5.780611
0.75,1,5.782995
-1.25,2,5.787293
0.75,1,5.789561
0.75,1,5.792247
0.75,1,5.795083
0.75,1,5.798063
-0.25,1,5.800705
-0.25,1,5.8034
-0.75,1,5.806173
-0.75,1,5.809434
0.75,1,5.812357
-0.75,1,5.815103
-0.75,1,5.818244
0.75,1,5.821357
0.75,1,5.824312
0.75,1,5.827124
0.75,1,5.829796
0.75,1,5.832578
-0.25,2,5.837146
-1.25,2,5.841449
0.75,1,5.843722
-0.75,1,5.845979
-0.25,1,5.848081
-1.25,3,5.853943
0.75,1,5.856027
0.75,1,5.858231
-0.25,2,5.863344
-0.25,1,5.866158
0.75,1,5.869373
0.75,1,5.872541
0.75,1,5.875601
-0.75,1,5.878409
-0.75,1,5.881342
-0.25,2,5.886875
0.75,1,5.890735
0.25,3,5.897945
0.75,1,5.900345
-0.75,2,5.905076
-1.25,3,5.9125
-0.25,2,5.91753
