#{"t_start": 1788994989.4793754, "env_id": "None"}
r,l,t
0.25,3,5.321232
2.25,7,5.336867
-0.25,2,5.341485
-0.75,1,5.343997
0.75,4,5.353364
0.75,4,5.362662
0.25,3,5.369642
-0.25,2,5.374436
1.75,6,5.389183
0.25,3,5.396095
-0.25,2,5.400861
-0.25,2,5.405533
-0.75,1,5.408086
0.25,3,5.414873
-1.75,5,5.42527
-0.25,2,5.429691
-0.25,2,5.434107
0.75,1,5.436402
-0.25,2,5.440841
0.25,3,5.447343
-0.25,2,5.451736
2.25,4,5.460134
-4.75,8,5.476744
-5.25,7,5.493671
0.25,3,5.500629
0.25,3,5.507529
0.75,1,5.510035
-0.25,2,5.514757
0.25,3,5.521517
-0.75,1,5.523983
0.75,1,5.526499
-1.25,3,5.533084
0.75,4,5.541477
-3.25,8,5.557943
-0.75,1,5.560237
0.25,3,5.566599
0.75,1,5.569174
-0.25,2,5.573931
-0.25,2,5.578694
-0.25,2,5.583481
-0.25,2,5.588464
-0.75,1,5.591244
0.75,1,5.594049
-0.75,1,5.596843
-0.25,2,5.602146
-0.75,1,5.605494
0.25,3,5.61368
2.75,5,5.625703
-0.75,1,5.628412
-0.25,2,5.633356
-0.75,1,5.635959
-0.25,2,5.640897
-0.25,2,5.645847
-4.75,5,5.657421
-0.75,1,5.659923
1.25,5,5.671255
-0.25,2,5.675985
-0.75,1,5.678532
-0.75,1,5.681007
-0.75,1,5.683547
-0.75,1,5.686092
0.75,1,5.688886
-2.75,3,5.696414
0.25,3,5.705329
-0.75,1,5.708605
0.25,3,5.71692
1.25,5,5.730468
-0.25,2,5.736107
-0.25,2,5.741905
0.75,1,5.744854
0.75,4,5.755783
-0.25,2,5.762265
1.25,8,5.783139
0.25,3,5.790312
-0.75,1,5.793012
-0.75,1,5.795681
-0.75,1,5.798276
0.25,3,5.80577
-0.75,1,5.810407
1.25,5,5.823188
-0.25,2,5.828007
0.75,1,5.830493
-0.75,1,5.833011
-0.25,2,5.837699
-3.75,10,5.860303
1.75,6,5.87461
-1.25,1,5.877301
-0.25,2,5.882094
-0.75,1,5.884558
1.75,6,5.89818
-0.75,1,5.900774
-0.75,1,5.903328
-0.25,2,5.908377
-0.25,2,5.913954
0.75,1,5.916697
-0.75,1,5.919277
-0.25,2,5.924601
0.25,3,5.932193
-0.25,2,5.936918
0.75,4,5.945971
0.75,1,5.948544
-0.25,2,5.953328
0.75,1,5.95586
-0.75,1,5.958443
0.25,3,5.965589
-0.25,2,5.970386
-0.75,1,5.972913
-0.25,2,5.977714
-0.75,1,5.980336
1.75,5,5.991833
0.25,3,5.998781
-0.75,1,6.001312
-0.25,2,6.005995
-0.75,1,6.008381
-0.25,2,6.013061
-0.25,2,6.017751
0.75,1,6.020199
0.75,3,6.027126
-0.25,2,6.031952
0.25,3,6.039886
-0.75,1,6.042618
-0.75,1,6.045225
0.75,1,6.047718
0.75,1,6.050384
-0.75,1,6.05306
1.75,6,6.066693
-0.25,2,6.071438
0.25,3,6.078448
-1.25,3,6.085415
-1.25,3,6.092482
-0.25,2,6.097265
0.75,1,6.099828
-0.75,1,6.102225
-0.75,1,6.104583
3.75,10,6.126395
-0.25,2,6.130687
-0.75,1,6.133043
-0.25,2,6.137527
-0.25,2,6.142547
-0.25,2,6.147622
-0.75,1,6.150367
0.25,3,6.157666
-0.25,3,6.16448
-0.25,2,6.169094
0.75,4,6.177999
-1.25,1,6.180411
-0.75,1,6.182884
0.25,3,6.1893
-0.25,2,6.195211
-0.25,2,6.200115
-0.25,2,6.205166
-0.75,1,6.20789
-0.25,2,6.212714
-0.75,1,6.215492
-0.75,1,6.217938
0.75,4,6.22721
-1.25,3,6.234502
-0.25,2,6.239283
0.25,3,6.246214
-0.75,1,6.248718
0.25,3,6.255758
0.75,1,6.258549
0.75,1,6.261412
-0.25,2,6.266987
-1.25,3,6.276753
-0.25,2,6.282655
-0.75,1,6.285632
0.25,3,6.292818
-0.75,1,6.295452
-0.25,2,6.300233
0.75,4,6.309867
-0.75,1,6.312613
3.75,10,6.335715
-0.25,2,6.340707
-2.25,4,6.3506
-0.25,2,6.356245
0.75,1,6.359099
-0.75,1,6.361845
-0.75,1,6.366107
0.25,3,6.374391
-0.25,2,6.380253
-0.75,1,6.384064
-0.25,2,6.389619
0.75,1,6.392295
-0.75,1,6.395226
-1.25,3,6.402504
-0.75,1,6.405188
0.25,3,6.412264
-0.25,2,6.416884
0.75,1,6.419297
0.25,3,6.42577
-0.75,1,6.428238
-0.75,4,6.731041
-0.25,2,6.73685
-0.25,2,6.742645
0.75,4,6.753536
-0.75,1,6.756376
-0.75,1,6.75923
-0.75,1,6.761983
0.75,4,6.772671
-0.25,2,6.778165
0.75,4,6.788831
-0.75,1,6.791762
1.75,6,6.807709
-1.25,3,6.815871
0.25,3,6.824118
1.25,5,6.838226
3.25,6,6.853138
