#{"t_start": 1789380743.531334, "env_id": "None"}
r,l,t
1.25,5,2.524447
-1.25,2,2.53111
-0.25,2,2.537059
0.25,3,2.545257
-1.25,1,2.548563
0.25,3,2.556994
-0.25,2,2.56282
0.75,1,2.566119
-0.25,1,2.569344
-0.25,1,2.572491
-0.25,1,2.575528
-0.25,2,2.581329
-1.25,3,2.589941
-0.25,2,2.595416
-0.25,1,2.598273
-1.25,2,2.603781
1.75,4,2.614888
-0.75,1,2.617975
0.75,1,2.621192
-0.25,2,2.62693
1.25,3,2.635545
-0.25,1,2.638721
0.25,3,2.647255
0.75,1,2.650233
1.75,6,2.666492
-3.75,6,2.682422
-0.25,1,2.685457
-2.25,3,2.694782
-4.25,7,2.715504
-0.25,2,2.721624
-0.75,1,2.725014
0.75,1,2.728444
-2.25,3,2.737209
-1.25,2,2.74287
0.25,3,2.750373
-0.25,1,2.753201
-0.75,1,2.756169
-0.75,1,2.75891
-5.25,6,2.774981
0.75,1,2.77818
-0.25,1,2.781179
0.25,3,2.789113
0.75,1,2.792121
-1.25,1,2.794786
0.25,3,2.802462
0.75,1,2.80514
-1.25,2,2.810173
-2.25,4,2.820092
0.75,1,2.822825
-0.75,1,2.825584
-1.25,2,2.830739
-0.75,2,2.83588
-0.25,2,2.841133
-2.25,4,2.851219
-2.25,4,2.861202
-0.25,2,2.866088
-0.25,1,2.868897
0.75,1,2.871486
-1.25,2,2.876499
-3.25,14,2.908821
0.75,1,2.911502
-0.25,1,2.914123
-0.75,1,2.916648
1.25,5,2.928781
0.75,1,2.931593
0.75,1,2.934263
-1.25,1,2.937027
-0.25,1,2.940128
-2.75,3,2.948875
-1.25,2,2.954092
-0.25,1,2.956814
-0.25,2,2.962171
-0.25,2,2.967367
-0.25,1,2.970173
-0.75,2,2.975544
0.75,4,2.986462
-0.75,1,2.989145
-0.25,2,2.994183
0.75,3,3.001883
-0.75,1,3.004379
-0.25,2,3.009423
-0.75,1,3.012231
-0.25,2,3.017424
-0.75,1,3.020149
-0.25,1,3.022995
-0.75,2,3.028127
0.75,1,3.03081
-1.25,2,3.036067
-1.25,2,3.041221
-0.75,1,3.04396
-0.25,1,3.046909
0.75,1,3.049602
-0.25,1,3.052419
-0.75,1,3.055028
-1.25,2,3.060202
0.75,1,3.062809
-0.25,2,3.06815
-0.75,2,3.07322
-0.25,1,3.075903
0.75,1,3.07846
0.75,1,3.08121
0.75,1,3.084289
-1.25,2,3.089758
0.75,1,3.092656
-1.25,1,3.095605
-0.25,2,3.100981
-0.25,2,3.106042
-0.25,1,3.109112
-1.25,4,3.119375
-0.25,2,3.124694
0.75,3,3.132905
-0.75,1,3.135901
-0.75,1,3.139014
-0.25,2,3.144325
-2.25,3,3.152746
-0.25,2,3.158223
-0.75,1,3.161077
-0.25,2,3.166371
-0.25,1,3.169007
-0.25,2,3.173937
0.75,1,3.176669
3.75,6,3.191692
-0.25,1,3.194503
-0.25,2,3.199561
-0.75,4,3.210288
-1.25,1,3.213282
-0.75,1,3.216229
-0.25,1,3.219172
-0.75,4,3.229338
-0.25,2,3.234695
-0.25,1,3.2374
-0.25,2,3.24252
-0.25,2,3.247649
-0.75,1,3.250534
0.75,1,3.253338
-0.75,2,3.258916
0.75,1,3.261697
-1.25,2,3.266958
0.75,1,3.269901
-1.25,4,3.280267
-0.75,1,3.283404
-0.25,2,3.288764
-0.25,2,3.294267
0.25,3,3.302596
-1.25,2,3.308332
-0.25,1,3.311151
-0.75,6,3.326197
-0.25,2,3.331813
-1.25,2,3.337729
-0.75,1,3.34072
0.75,1,3.343389
-0.25,2,3.34911
-0.25,1,3.352048
1.75,4,3.362859
-0.25,1,3.366064
0.25,3,3.374078
-0.25,2,3.379755
-0.75,1,3.382619
-0.75,1,3.385463
-0.75,1,3.388292
-0.25,1,3.39129
-0.25,2,3.396636
-2.25,3,3.404457
-0.75,4,3.414991
-1.25,1,3.418291
-3.25,4,3.430019
-0.75,1,3.43286
0.75,1,3.435771
-0.75,1,3.438498
-0.75,1,3.441314
-3.25,4,3.452295
0.75,1,3.455406
-0.25,1,3.458266
-0.75,1,3.460988
-0.75,2,3.46665
-0.25,1,3.470298
-0.25,2,3.4763
-1.25,1,3.479649
-0.75,4,3.491794
-1.25,1,3.494978
0.75,1,3.498061
-0.75,1,3.501248
-0.25,2,3.506851
-1.25,2,3.512173
-0.75,1,3.515403
0.75,1,3.518848
-1.25,2,3.525229
-0.25,1,3.528777
-2.25,4,3.539976
-0.25,1,3.54305
-0.75,1,3.546062
-0.75,2,3.551998
-0.75,3,3.560256
-0.25,2,3.56649
-0.75,3,3.574706
-1.25,2,3.580112
-0.25,2,3.585522
0.75,1,3.588339
-0.75,6,3.604786
-0.75,1,3.607759
-0.25,2,3.613437
-0.25,2,3.618973
-0.75,1,3.621908
-0.25,1,3.624867
-0.75,1,3.627614
-0.75,1,3.630768
-0.75,3,3.639788
-0.75,1,3.643188
0.75,3,3.65252
0.75,3,3.661325
-0.25,2,3.667118
-2.25,4,3.67825
-0.25,1,3.681166
-0.25,2,3.687018
-0.75,1,3.689912
0.75,4,3.700383
-1.25,2,3.708309
-0.25,1,3.71137
-0.25,2,3.716791
-0.75,1,3.719585
-0.25,2,3.725195
-1.25,1,3.728141
0.25,3,3.736521
0.75,1,3.739877
-0.25,1,3.743073
-0.75,1,3.746562
-0.75,2,3.753078
-0.25,2,3.759361
-3.75,4,3.776341
-2.75,3,3.785961
-0.25,1,3.789164
-0.25,1,3.792344
-3.75,4,3.80413
-0.25,2,3.809848
-0.25,2,3.815875
0.75,1,3.818774
-0.25,2,3.823973
-0.25,2,3.829406
-0.75,6,3.844401
-5.25,6,3.860402
0.75,1,3.863399
-0.25,2,3.869303
-0.75,2,3.874762
-2.25,4,3.885393
-0.75,1,3.888257
-0.25,5,3.900713
-0.25,2,3.906075
-3.25,5,3.919151
-0.75,1,3.922046
-0.25,2,3.927172
0.75,4,4.671718
0.75,4,4.683338
-0.75,1,4.686305
-0.25,1,4.689254
-0.75,1,4.692207
-0.75,1,4.695078
-0.25,2,4.700432
-0.75,3,4.708494
-0.75,1,4.711382
-0.75,1,4.714371
-0.25,1,4.717185
-0.75,1,4.72018
-0.75,1,4.723068
-0.75,1,4.726229
-0.25,2,4.732033
-0.25,1,4.734694
0.75,3,4.742911
-2.25,3,4.752079
-0.25,1,4.755068
-0.25,1,4.758027
-0.25,1,4.760928
-0.25,2,4.76648
-0.25,1,4.769788
-0.25,2,4.77598
-0.25,2,4.78266
-1.25,2,4.788971
-0.75,1,4.792203
-1.25,3,4.801075
0.75,1,4.804193
-0.25,2,4.809702
-0.25,1,4.812797
-0.75,3,4.821171
-0.75,1,4.824103
-1.25,2,4.829555
-3.25,5,4.843388
-0.25,2,4.84932
-0.75,1,4.852445
-0.75,1,4.855731
-0.75,1,4.859016
-1.25,2,4.864537
-1.25,1,4.867362
-1.25,1,4.870447
0.75,1,4.873231
-0.75,1,4.876122
-0.25,2,4.881463
-1.25,3,4.889364
-0.75,1,4.892333
0.75,1,4.895379
-0.75,1,4.898351
-0.75,1,4.901395
-0.25,2,4.906704
-1.25,2,4.912577
-0.25,2,4.918588
0.75,1,4.921782
-0.25,2,4.927782
-1.25,2,4.933566
-0.25,1,4.936764
0.25,3,4.946324
1.25,5,4.960886
-1.25,2,4.966929
-1.25,2,4.972776
-1.25,1,4.975819
-0.25,2,4.981459
-0.75,1,4.98474
-0.25,2,4.99045
-0.25,1,4.993429
-0.25,1,4.996408
0.75,4,5.007078
0.25,3,5.015235
-3.25,5,5.028352
2.25,7,5.046305
-0.25,1,5.049086
-1.25,2,5.054546
0.75,1,5.057372
-0.25,2,5.062888
-0.75,1,5.06577
-0.25,2,5.071194
-0.25,2,5.076967
-0.75,1,5.079804
-0.75,1,5.082764
0.75,1,5.085633
-0.25,1,5.088432
0.75,1,5.091313
0.75,1,5.094248
-0.75,4,5.104463
-1.75,8,5.125317
-0.25,1,5.128246
-0.25,2,5.133603
-0.75,1,5.13692
0.75,1,5.139908
-1.25,2,5.145251
-0.25,2,5.150626
-0.25,2,5.156052
-0.25,2,5.161692
0.75,1,5.16468
-0.75,1,5.16755
-0.75,1,5.170374
-0.25,2,5.175682
0.75,1,5.1786
-0.75,3,5.186841
-2.25,4,5.197435
-0.75,1,5.200467
-1.25,1,5.204278
-0.25,2,5.210112
-0.75,1,5.213045
-0.25,2,5.218669
0.75,1,5.221484
-0.75,1,5.224111
-4.25,5,5.237127
-0.75,1,5.240038
-0.25,2,5.245217
-0.75,1,5.248074
-1.25,2,5.253612
-0.75,2,5.259184
-0.75,1,5.262104
-0.25,1,5.265175
0.75,1,5.268109
-0.75,1,5.270964
-0.25,1,5.274164
-0.25,2,5.280294
0.75,1,5.283319
-1.25,2,5.289256
-0.25,1,5.292241
-0.25,1,5.295103
-2.25,3,5.30389
-0.75,2,5.309931
0.25,3,5.318625
-0.75,1,5.321718
-0.25,1,5.324569
-0.25,2,5.330775
-0.75,1,5.334084
2.25,4,5.346035
-0.25,2,5.351675
-7.25,8,5.373657
-0.25,2,5.379491
0.75,1,5.382578
0.75,1,5.385443
0.75,1,5.388623
-0.25,1,5.391635
-0.75,1,5.394521
-1.25,1,5.39768
-0.75,1,5.400801
0.75,1,5.404007
0.25,3,5.412541
-1.25,2,5.418313
-1.25,1,5.421312
0.75,1,5.424142
-0.25,1,5.427223
-0.75,1,5.430428
-1.25,2,5.435998
1.25,3,5.444811
0.75,1,5.448137
-4.25,6,5.465248
-0.25,1,5.468575
0.75,1,5.471988
0.25,3,5.481324
-0.75,1,5.484881
0.75,1,5.488173
-0.75,1,5.491508
-0.75,1,5.494916
-0.75,1,5.498217
3.25,6,5.515648
-0.25,1,5.518805
0.75,1,5.521971
-0.75,1,5.525238
-0.25,1,5.528436
-1.25,2,5.53459
0.75,1,5.53811
-0.75,1,5.541504
-0.75,1,5.544864
0.75,1,5.548237
-0.75,2,5.554101
-0.75,1,5.557364
-0.75,1,5.560361
0.75,1,5.563525
0.75,4,5.574506
-0.75,1,5.577546
-0.25,2,5.583132
-0.75,1,5.586373
0.75,1,5.589296
-0.75,1,5.592276
-0.25,2,5.597901
-0.25,2,5.603531
0.75,1,5.606342
-0.75,2,5.612009
-0.25,1,5.615033
-0.75,4,5.625502
-0.75,1,5.628388
-1.25,3,5.636686
-0.75,1,5.640156
-0.75,1,5.64332
-0.75,1,5.646449
0.75,1,5.649412
-0.25,2,5.655242
-0.25,2,5.661171
-0.75,1,5.664483
0.25,3,5.673518
-0.25,2,5.679063
-2.25,3,5.687515
-0.75,1,5.69054
-0.25,1,5.693532
-1.25,1,5.6965
0.75,1,5.699607
-0.25,1,5.702558
-0.25,1,5.705629
-0.25,1,5.708605
-0.25,2,5.71424
-0.25,2,5.719997
-0.25,2,5.725751
0.25,3,5.734159
-0.75,1,5.737278
-0.75,1,5.740079
-0.75,1,5.743095
-2.25,3,5.752002
-0.25,2,5.757674
0.75,1,5.760649
-0.75,1,5.763634
-0.75,1,5.766875
2.75,5,5.782047
-0.25,2,5.78871
0.25,3,5.79773
-0.25,1,5.800852
-1.25,1,5.803906
-0.75,1,5.806893
-0.25,2,5.812927
-0.25,2,5.818638
-1.25,2,5.824363
0.75,1,5.827613
0.75,1,5.830466
-0.75,1,5.833453
-1.25,1,5.836265
-0.25,1,5.83906
-0.25,2,5.844771
-1.25,2,5.850696
-1.25,4,5.861318
-1.25,1,5.864522
-0.75,1,5.867409
-0.25,1,5.870215
-0.25,2,5.875844
-0.25,2,5.881428
0.75,1,5.884492
0.75,1,5.887499
-0.25,2,5.893311
-0.25,1,5.896272
0.75,1,5.89924
0.75,1,5.902249
-0.25,1,5.905556
