#{"t_start": 1789001687.9922652, "env_id": "None"}
r,l,t
-0.25,2,5.479688
-0.75,1,5.482711
0.25,3,5.49064
1.75,3,5.499256
2.25,7,5.522079
-0.25,2,5.528995
-0.75,1,5.532547
-3.75,4,5.545828
0.75,4,5.558419
0.25,3,5.568511
-0.25,2,5.575275
1.75,6,5.595628
0.25,3,5.60709
-0.25,2,5.615749
-0.25,2,5.623013
-0.75,1,5.626715
0.25,3,5.636864
-3.25,5,5.659797
-0.25,2,5.667486
-0.25,2,5.673965
0.75,1,5.677361
-0.25,2,5.683542
-1.25,3,5.692869
-0.25,2,5.700809
0.75,4,5.712556
2.75,8,5.734857
-5.25,7,5.758683
-0.75,1,5.761868
-0.25,2,5.768369
-0.75,1,5.771842
-0.25,2,5.777772
0.75,1,5.7806
-0.25,2,5.786187
-0.25,2,5.793462
-0.75,1,5.797362
-0.75,1,5.801109
0.75,1,5.8054
-1.25,3,5.815614
0.75,4,5.827949
2.75,8,5.852281
-0.75,1,5.855211
0.25,3,5.863692
0.75,1,5.867772
-0.25,2,5.874714
-0.25,2,5.881269
-0.25,2,5.887144
-0.25,2,5.892317
-1.25,1,5.897269
-0.75,1,5.900691
0.75,1,5.904184
-0.25,2,5.910802
0.75,1,5.914125
0.25,3,5.925247
-4.75,5,5.939569
-0.75,1,5.943396
-0.25,2,5.950064
-0.75,1,5.953492
-0.25,2,5.959962
-0.25,2,5.966245
1.25,5,5.981732
-0.75,1,5.985412
-3.25,5,6.001305
-0.25,2,6.007653
-0.75,1,6.010952
-0.75,1,6.014375
-0.75,1,6.017587
-0.75,1,6.021264
-0.75,1,6.024652
-0.25,2,6.030692
0.75,1,6.035126
0.25,3,6.044755
-0.75,1,6.048017
0.25,3,6.056962
1.25,5,6.072019
-0.25,2,6.077841
-0.25,2,6.083322
-0.75,1,6.086082
0.75,4,6.095875
-0.25,2,6.101025
2.75,8,6.123292
0.25,3,6.133883
0.75,1,6.138067
-0.75,1,6.141458
-1.25,1,6.145174
-1.25,3,6.154403
-0.75,1,6.157666
2.75,5,6.172643
-0.25,2,6.178708
-0.75,1,6.182154
-0.75,1,6.185334
-0.25,2,6.191992
5.75,10,6.218746
-3.25,5,6.231623
-0.75,1,6.2344
0.75,1,6.237266
-0.25,2,6.242345
-0.75,1,6.245084
1.75,6,6.261287
-0.75,1,6.263852
-0.75,1,6.266448
-0.25,2,6.271641
-0.25,2,6.276621
0.75,1,6.279251
-0.75,1,6.281902
-0.25,2,6.286832
0.25,3,6.29424
-0.75,1,6.297135
-0.75,1,6.299804
0.75,4,6.309074
-0.75,1,6.312004
-0.25,2,6.317041
-0.75,1,6.319831
0.75,1,6.322758
0.25,3,6.330034
-0.25,2,6.335095
-1.25,1,6.337782
-0.25,2,6.343457
-1.25,1,6.347111
1.25,5,6.361616
0.25,3,6.370146
-0.75,1,6.372926
-0.25,2,6.378235
0.75,1,6.380904
-0.25,2,6.38598
-0.25,2,6.3917
-0.75,1,6.394559
-1.25,3,6.40225
-0.25,2,6.407343
-1.25,3,6.414826
0.75,1,6.417625
0.75,1,6.420449
0.75,1,6.423172
-0.75,1,6.425855
-0.75,1,6.428708
1.75,6,6.443702
-0.25,2,6.449001
0.25,3,6.456482
0.25,3,6.464292
-0.25,3,6.472685
-0.25,2,6.47853
-0.75,1,6.481343
-0.75,1,6.484163
-0.75,1,6.486868
3.75,10,6.511443
-0.25,2,6.516803
-1.25,1,6.519556
-0.25,2,6.524884
-0.25,2,6.529961
-0.25,2,6.535292
-0.75,1,6.538082
0.25,3,6.545872
0.25,3,6.553508
-0.25,2,6.558754
0.75,4,6.568724
-0.75,1,6.57151
-0.75,1,6.574517
