#{"t_start": 1788539743.7876291, "env_id": "None"}
r,l,t
-25.0,2,4.625257
-75.0,1,4.631473
75.0,3,4.649149
-125.0,3,4.66726
225.0,7,4.688863
-25.0,2,4.694869
-75.0,1,4.699065
75.0,4,4.713212
175.0,4,4.727815
25.0,3,4.736518
-25.0,2,4.741612
175.0,6,4.756999
25.0,3,4.764513
-25.0,2,4.769805
-25.0,2,4.774818
-75.0,1,4.778029
25.0,3,4.785861
125.0,5,4.799512
-25.0,2,4.805028
-25.0,2,4.810325
-125.0,1,4.813045
-25.0,2,4.818369
25.0,3,4.826026
-25.0,2,4.831091
75.0,4,4.840951
275.0,8,4.86024
225.0,7,4.877759
25.0,3,4.885474
25.0,3,4.892856
-75.0,1,4.895655
-25.0,2,4.900981
-125.0,3,4.908551
-75.0,1,4.911826
-75.0,1,4.914664
25.0,3,4.922832
75.0,4,4.933203
275.0,8,4.955608
-75.0,1,4.958474
25.0,3,4.966372
-75.0,1,4.969183
-25.0,2,4.97436
75.0,4,4.984878
-25.0,2,4.989899
-75.0,1,4.992611
-75.0,1,4.995201
-75.0,1,4.998044
-25.0,2,5.003983
-75.0,1,5.006881
25.0,3,5.01499
275.0,5,5.031325
-125.0,1,5.034751
-25.0,2,5.040159
-75.0,1,5.042723
-25.0,2,5.047939
-25.0,2,5.053785
125.0,5,5.066628
-75.0,1,5.069649
225.0,7,5.087967
-75.0,1,5.090789
-75.0,1,5.093664
-75.0,1,5.096463
-75.0,1,5.099286
-125.0,1,5.102288
25.0,3,5.109974
75.0,3,5.117799
-75.0,1,5.120402
25.0,3,5.12788
125.0,5,5.140177
-25.0,2,5.145206
-25.0,2,5.150352
-75.0,1,5.153144
175.0,4,5.162982
-25.0,2,5.168389
275.0,8,5.188001
25.0,3,5.195719
-125.0,1,5.198751
-75.0,1,5.201811
-75.0,1,5.204517
25.0,3,5.212765
-75.0,1,5.215519
125.0,5,5.228457
-25.0,2,5.233865
-75.0,1,5.236575
-75.0,1,5.239278
-25.0,2,5.244744
375.0,10,5.269225
175.0,6,5.283371
-75.0,1,5.285943
-25.0,2,5.291034
75.0,1,5.294863
175.0,6,5.310511
-75.0,1,5.313155
-75.0,1,5.315884
-25.0,2,5.321304
-25.0,2,5.326786
-75.0,1,5.329511
-75.0,1,5.332389
-25.0,2,5.337686
75.0,3,5.345297
-25.0,2,5.350632
175.0,4,5.361103
-75.0,1,5.364442
-25.0,2,5.369915
-75.0,1,5.372781
175.0,6,5.38771
-75.0,1,5.390418
-25.0,2,5.395491
-75.0,1,5.39815
275.0,8,5.418474
-75.0,1,5.42143
-25.0,2,5.426834
75.0,1,5.429787
-25.0,2,5.434947
-25.0,2,5.440012
175.0,4,5.450238
-25.0,2,5.455369
25.0,3,5.463008
-75.0,1,5.465729
-75.0,1,5.468434
-75.0,1,5.471294
-75.0,1,5.47438
225.0,7,5.492693
-25.0,2,5.49822
25.0,3,5.506194
25.0,3,5.515225
25.0,3,5.524712
-25.0,2,5.531207
-75.0,1,5.534255
-75.0,1,5.537134
-75.0,1,5.540406
775.0,10,5.566758
