#{"t_start": 1788541191.7674227, "env_id": "None"}
r,l,t
125.0,5,2.53517
-25.0,2,2.548632
-25.0,2,2.56133
25.0,3,2.579574
-125.0,1,2.586548
25.0,3,2.604372
-25.0,2,2.616748
-75.0,1,2.623265
-75.0,1,2.630308
-125.0,1,2.634253
-75.0,1,2.63764
-25.0,2,2.645491
25.0,3,2.656206
-25.0,2,2.663902
-75.0,1,2.667364
-25.0,2,2.676102
75.0,4,2.693738
-125.0,1,2.698899
-75.0,1,2.703783
-25.0,2,2.71177
75.0,3,2.721448
-75.0,1,2.724719
75.0,3,2.734481
-75.0,1,2.737927
375.0,6,2.757196
-425.0,6,2.775698
-75.0,1,2.778275
25.0,3,2.786606
475.0,7,2.805858
-25.0,2,2.811961
-75.0,1,2.81539
-75.0,1,2.818774
25.0,3,2.827577
-25.0,2,2.833985
75.0,3,2.843504
-75.0,1,2.84712
-125.0,1,2.85028
-75.0,1,2.853477
375.0,6,2.872042
-75.0,1,2.87515
-75.0,1,2.87851
25.0,3,2.888131
-75.0,1,2.891691
-75.0,1,2.895432
75.0,3,2.904236
-75.0,1,2.907532
-25.0,2,2.914054
175.0,4,2.926423
-75.0,1,2.930142
-75.0,1,2.933566
-25.0,2,2.94024
-25.0,2,2.946566
-25.0,2,2.952937
175.0,4,2.965141
175.0,4,2.976824
-25.0,2,2.983474
-75.0,1,2.986825
-75.0,1,2.989856
-25.0,2,2.996291
575.0,14,3.037422
-75.0,1,3.040478
-75.0,1,3.043575
-125.0,1,3.047126
125.0,5,3.061644
-75.0,1,3.065178
-75.0,1,3.068256
-125.0,1,3.071264
-75.0,1,3.074499
25.0,3,3.083915
-25.0,2,3.092374
-75.0,1,3.096948
-25.0,2,3.103492
-25.0,2,3.110317
-125.0,1,3.113964
-25.0,2,3.12013
75.0,4,3.131435
-125.0,1,3.134305
-25.0,2,3.140052
25.0,3,3.149254
-75.0,1,3.152515
-25.0,2,3.158638
-75.0,1,3.16183
-25.0,2,3.168058
-75.0,1,3.17091
-125.0,1,3.173771
-25.0,2,3.179044
-75.0,1,3.181951
-25.0,2,3.187599
-25.0,2,3.192908
-125.0,1,3.196039
-75.0,1,3.198928
-75.0,1,3.201738
-75.0,1,3.206846
-75.0,1,3.210182
-25.0,2,3.215988
-75.0,1,3.218636
-25.0,2,3.224018
-25.0,2,3.229212
-75.0,1,3.231918
-75.0,1,3.234585
-75.0,1,3.237931
-75.0,1,3.241444
-25.0,2,3.247898
-75.0,1,3.251207
-125.0,1,3.254275
75.0,4,3.266213
-75.0,1,3.269436
75.0,4,3.280191
-25.0,2,3.285678
25.0,3,3.293639
-125.0,1,3.296732
-75.0,1,3.299667
-25.0,2,3.305078
25.0,3,3.313116
-25.0,2,3.318614
-75.0,1,3.321298
-25.0,2,3.32663
-75.0,1,3.329538
-25.0,2,3.335759
-75.0,1,3.338645
175.0,6,3.354023
-75.0,1,3.357104
-25.0,2,3.362401
75.0,4,3.372886
-75.0,1,3.375933
-125.0,1,3.380446
-75.0,1,3.387212
75.0,4,3.401781
-25.0,2,3.408089
-75.0,1,3.411201
-25.0,2,3.417451
-25.0,2,3.423486
-125.0,1,3.426562
-125.0,1,3.429595
-25.0,2,3.435577
-75.0,1,3.438685
-25.0,2,3.444042
-75.0,1,3.447398
75.0,4,3.458745
-75.0,1,3.462556
-25.0,2,3.469663
-25.0,2,3.476334
25.0,3,3.486147
-25.0,2,3.492641
-75.0,1,3.496862
175.0,6,3.51736
-25.0,2,3.524572
-25.0,2,3.535918
-75.0,1,3.541749
-75.0,1,3.5451
-25.0,2,3.555872
-75.0,1,3.561566
75.0,4,3.576486
-75.0,1,3.580123
25.0,3,3.589274
-25.0,2,3.595835
-75.0,1,3.599501
-75.0,1,3.603043
-75.0,1,3.606782
-75.0,1,3.6104
-25.0,2,3.616502
75.0,3,3.626019
75.0,4,3.637612
-75.0,1,3.640233
75.0,4,3.650844
-75.0,1,3.65372
-75.0,1,3.656462
-75.0,1,3.659263
