#{"t_start": 1789430726.8287349, "env_id": "None"}
r,l,t
-0.75,1,8.681317
-1.25,2,8.692649
-0.25,1,8.69837
-1.75,2,8.709343
-0.75,2,8.720816
-1.25,2,8.731961
-0.75,1,8.7389
0.75,4,8.759862
-0.25,2,8.777368
-0.75,1,8.786031
0.25,3,8.813751
0.25,3,8.842092
2.25,7,8.912816
-0.75,2,8.931197
-0.25,1,8.940872
-0.25,3,8.963681
-0.75,1,8.970074
-0.75,1,8.977867
-2.25,3,8.995143
-0.75,3,9.010619
-1.25,1,9.016906
0.75,1,9.022201
-0.75,1,9.028347
1.25,5,9.05439
-0.75,2,9.065014
-0.75,1,9.070958
-0.75,2,9.081646
-0.25,2,9.09234
-0.75,1,9.097755
0.25,3,9.11296
1.25,5,9.138014
-0.25,2,9.149601
-1.75,2,9.160517
-0.75,1,9.16677
-0.75,2,9.179325
0.25,3,9.195406
-0.25,2,9.205201
-2.25,4,9.22665
0.25,3,9.24252
-1.75,5,9.270765
2.25,7,9.311096
-0.25,1,9.316774
-1.25,2,9.328245
-0.25,1,9.334528
-1.25,2,9.346564
-0.25,1,9.352663
-0.25,2,9.364485
0.25,2,9.376285
-0.75,1,9.38172
-0.25,1,9.387337
-0.75,1,9.393617
-0.75,1,9.39965
-0.25,2,9.410707
0.75,4,9.431802
-3.25,8,9.47506
-0.75,1,9.480731
0.25,3,9.499323
-0.75,1,9.505362
-0.25,2,9.517852
-0.25,2,9.530171
-0.25,2,9.542739
-0.25,2,9.553685
-0.25,1,9.559072
-0.75,1,9.564184
-0.75,1,9.569904
-0.25,2,9.580846
-0.75,1,9.586791
-0.75,3,9.600544
-0.25,5,9.624355
-0.25,1,9.63025
-0.25,2,9.640881
-0.75,1,9.645519
-0.25,2,9.655581
-0.75,1,9.660102
0.75,1,9.664941
-0.25,5,9.689315
0.75,1,9.69398
2.75,5,9.720241
-0.25,2,9.730271
-0.75,1,9.736141
-0.25,1,9.741709
-0.75,1,9.747525
-0.75,1,9.752534
-0.75,1,9.757878
-0.75,2,9.768507
-0.75,1,9.773982
-0.25,2,9.784626
-0.75,1,9.789863
-0.75,1,9.795746
-1.25,3,9.810014
1.25,5,9.835316
-0.25,2,9.845436
-0.25,2,9.856409
-0.75,1,9.86239
-1.75,4,9.881962
-0.75,2,9.891971
-0.25,8,9.932024
-0.25,2,9.944016
-0.75,1,9.950246
0.75,1,9.956219
-0.75,1,9.963123
-0.25,1,9.970081
0.75,1,9.976885
-0.25,2,9.988905
-0.75,1,9.995224
-2.25,3,10.011349
-0.25,2,10.023623
-0.25,1,10.029799
-0.25,1,10.035346
-0.75,1,10.041726
-0.75,1,10.047727
-1.25,2,10.058452
3.75,10,10.115513
1.25,5,10.169958
-0.75,1,10.176592
-0.75,1,10.18339
-0.25,2,10.198234
-0.75,1,10.204256
1.75,6,10.246427
-0.75,1,10.252557
-0.75,1,10.26108
-0.75,1,10.26731
-0.75,1,10.273046
-0.25,2,10.28457
-0.75,1,10.290704
0.75,1,10.297091
-0.25,2,10.308563
-0.75,3,10.325762
-0.25,1,10.331694
-0.75,1,10.338569
0.75,4,10.360173
-0.25,1,10.366499
-0.25,2,10.37873
-0.75,1,10.38462
-0.75,1,10.391048
-1.25,3,10.408139
-1.25,2,10.41951
-0.75,1,10.426139
-0.25,2,10.438325
-0.75,1,10.444467
1.25,5,10.474102
-0.25,3,10.491382
-1.25,1,10.499953
-0.25,2,10.517394
-0.75,1,10.523977
-0.75,2,10.542093
-0.25,2,10.559258
-0.75,1,10.568419
-2.25,3,10.592109
-0.75,2,10.609654
-1.25,3,10.632741
-1.25,1,10.645162
0.75,1,10.651369
0.75,1,10.660534
-0.75,1,10.669422
-0.25,1,10.678313
-0.75,1,10.687817
0.25,3,10.710144
-0.25,2,10.7267
-1.25,2,10.741912
1.25,3,10.767467
-0.75,2,10.78171
-0.75,1,10.789733
0.25,3,10.812529
-0.25,2,10.830087
0.75,1,10.839803
-0.75,1,10.84593
-0.25,1,10.852007
-0.75,7,10.891169
-0.25,3,10.9101
-0.25,2,10.922022
0.75,1,10.927638
-0.25,2,10.938521
-0.25,2,10.9501
-0.75,2,10.960359
-0.75,1,10.966549
-0.75,1,10.971889
-1.75,2,10.982226
-2.75,3,10.998264
-0.25,2,11.008818
0.75,4,11.029893
-0.75,1,11.035624
-0.75,1,11.041213
-0.25,1,11.04759
-0.25,2,11.057684
-0.25,2,11.068487
-1.25,1,11.074251
-1.25,1,11.080326
-0.75,2,11.090845
0.75,1,11.096096
-1.25,2,11.106995
-0.75,1,11.113087
-0.75,1,11.119364
-0.75,1,11.124839
-0.75,3,11.141511
1.75,3,11.162514
-1.25,2,11.181122
0.25,3,11.196103
0.75,1,11.201138
0.25,3,11.215733
0.75,1,11.221174
-0.75,1,11.233573
-1.75,2,11.256348
0.25,3,11.279143
-0.25,2,11.28911
-0.75,1,11.294804
-2.25,3,11.309683
-0.75,1,11.314971
-0.25,2,11.325072
-0.25,4,11.345594
-0.75,1,11.350825
2.25,7,11.386142
-2.25,3,11.401018
-1.25,2,11.410899
-0.75,2,11.421036
-0.25,2,11.431632
-1.25,2,11.442058
-0.75,1,11.446961
-0.25,1,11.452288
-1.25,1,11.457882
-0.75,3,11.474016
-0.25,2,11.484491
-0.75,1,11.490102
-0.25,2,11.500586
-0.75,1,11.506054
0.75,1,11.511749
0.25,3,11.526406
-0.75,1,11.532134
0.25,3,11.547451
-0.25,2,11.55794
-0.75,1,11.56381
0.25,3,11.57974
-0.75,1,11.585502
-0.25,2,11.595691
-0.25,2,12.234009
-0.25,2,12.244744
-0.25,2,12.255167
0.75,4,12.274491
0.75,1,12.279733
-0.25,1,12.284889
-0.75,1,12.29026
-2.25,3,12.305409
-0.75,1,12.310663
-0.75,2,12.320554
0.75,4,12.341203
-0.75,1,12.34706
1.75,6,12.37704
0.25,3,12.395534
-0.75,3,12.415481
-0.25,4,12.436872
-0.75,1,12.442888
-0.75,1,12.448769
-0.25,5,12.473382
-0.25,2,12.484633
-0.25,2,12.494635
-0.75,1,12.500276
0.75,1,12.505385
-0.25,1,12.510498
-0.75,1,12.516258
-0.25,2,12.52624
-0.25,2,12.536093
-0.25,2,12.54616
1.75,6,12.575733
-1.25,3,12.590887
-0.75,1,12.59629
3.75,10,12.646737
0.25,3,12.662199
-0.75,3,12.677884
-0.25,1,12.683905
1.75,3,12.700003
-0.75,1,12.705818
-0.75,1,12.711961
1.25,5,12.73875
0.25,3,12.754413
2.75,8,12.797099
-0.25,2,12.808738
-0.25,2,12.819597
-0.75,1,12.825383
-0.25,2,12.836438
-0.25,2,12.847834
-0.75,1,12.853545
-0.75,1,12.859714
-1.25,2,12.870372
-0.25,2,12.881562
-0.75,1,12.887651
-0.75,1,12.893393
0.75,1,12.899614
-0.75,2,12.909832
-2.25,3,12.924863
0.25,3,12.940486
-1.25,1,12.946609
-0.25,2,12.956963
-0.25,2,12.966936
-0.75,2,12.979279
-0.25,3,12.997021
-0.75,1,13.002568
-0.25,2,13.012753
0.25,3,13.029502
-0.75,1,13.036305
-0.75,1,13.041233
-0.75,1,13.046572
-0.75,1,13.052198
-0.25,2,13.062768
-0.25,1,13.068078
0.25,3,13.083036
-0.25,2,13.093847
-0.25,2,13.107457
-0.25,2,13.117947
-0.25,5,13.144194
-0.25,2,13.15683
1.75,3,13.171819
-0.75,1,13.1774
