#{"t_start": 1788994993.7565532, "env_id": "None"}
r,l,t
-1.75,5,2.389796
-0.25,2,2.395561
-0.25,2,2.401505
-1.25,3,2.410289
-0.75,1,2.41293
-1.25,3,2.421287
-0.25,2,2.427058
-0.75,1,2.430171
0.75,1,2.433194
-0.75,1,2.436725
0.75,1,2.440774
-0.25,2,2.447067
0.25,3,2.455415
-0.25,2,2.461439
-0.75,1,2.464727
-0.25,2,2.470387
-0.75,4,2.481083
0.75,1,2.483945
-0.75,1,2.486664
-0.25,2,2.492079
0.25,3,2.500238
-0.75,1,2.503076
0.25,3,2.510951
-0.75,1,2.513819
-4.25,6,2.529812
1.75,6,2.546152
-0.75,1,2.549218
0.25,3,2.558081
-0.75,7,2.575243
-0.25,2,2.580331
-0.75,1,2.582944
-0.75,1,2.585569
0.25,3,2.593034
-0.25,2,2.598296
0.25,3,2.605636
-0.75,1,2.608363
-0.75,1,2.611027
-0.75,1,2.613775
3.25,6,2.629024
0.75,1,2.631864
-0.75,1,2.634707
0.25,3,2.642292
-0.75,1,2.644985
-0.75,1,2.647704
0.25,3,2.65586
-0.75,1,2.658714
-0.25,2,2.664788
0.75,4,2.675699
-0.75,1,2.678502
-0.75,1,2.681222
-0.25,2,2.686315
-0.25,2,2.691297
-0.25,2,2.696769
0.75,4,2.706697
0.75,4,2.716939
-0.25,2,2.722239
-0.75,1,2.724897
-0.75,1,2.727552
-1.75,2,2.733126
5.75,14,2.768557
-0.75,1,2.771363
-0.75,1,2.774792
-0.75,1,2.77773
1.25,5,2.791023
-0.75,1,2.793889
-0.75,1,2.797238
-0.75,1,2.800164
-0.75,1,2.802994
-1.25,3,2.810723
-0.25,2,2.81613
0.75,1,2.819045
-0.25,2,2.824822
-0.25,2,2.83085
-0.75,1,2.834803
-0.25,2,2.840667
0.75,4,2.850991
-0.75,1,2.853822
-0.25,2,2.860226
0.25,3,2.868405
-0.75,1,2.871087
-0.25,2,2.876078
0.75,1,2.878726
-0.25,2,2.88388
0.75,1,2.886721
0.75,1,2.889809
-1.75,2,2.895988
-0.75,1,2.898971
-0.25,2,2.904528
-0.25,2,2.909763
-0.75,1,2.912429
-1.25,1,2.915195
-0.75,1,2.918071
-0.75,1,2.920837
-0.75,1,2.923638
-0.25,2,2.928939
-0.75,1,2.931741
-0.25,2,2.936855
-0.25,2,2.942189
-0.75,1,2.945273
-0.75,1,2.948614
0.75,1,2.951525
-0.75,1,2.954306
-0.25,2,2.95969
-0.75,1,2.962602
0.75,1,2.965533
0.75,4,2.975712
-0.75,1,2.978413
0.75,4,2.988258
-1.75,2,2.993555
-2.75,3,3.00184
-0.75,1,3.005279
-0.75,1,3.008369
-0.25,2,3.014229
0.25,3,3.022199
-0.25,2,3.027501
0.75,1,3.030296
-1.75,2,3.035529
-0.75,1,3.03835
-0.25,2,3.043759
-0.75,1,3.046524
3.25,6,3.061329
-0.75,1,3.064184
-0.25,2,3.069287
-0.75,4,3.079531
-0.75,1,3.082335
-0.75,1,3.085052
-0.75,1,3.087897
0.75,4,3.098584
-0.25,2,3.103843
-0.75,1,3.106595
-0.25,2,3.111686
-0.25,2,3.11709
0.75,1,3.119977
-0.75,1,3.123163
-0.25,2,3.129297
-0.75,1,3.132454
-0.25,2,3.137651
-0.75,1,3.140454
2.25,4,3.150422
-0.75,1,3.153263
-0.25,2,3.158417
-0.25,2,3.163399
0.25,3,3.171144
-0.25,2,3.176407
-0.75,1,3.179214
1.75,6,3.193813
-0.25,2,3.198949
-0.25,2,3.204055
-0.75,1,3.206875
0.75,1,3.209711
-0.25,2,3.215069
-0.75,1,3.218006
-0.75,4,3.230053
-0.75,1,3.232901
1.75,3,3.240786
-0.25,2,3.246126
-0.75,1,3.248955
-0.75,1,3.251794
-0.75,1,3.254697
-0.75,1,3.257585
-0.25,2,3.26289
0.25,3,3.270429
0.75,4,3.280765
-0.75,1,3.283482
-2.25,4,3.29343
-0.75,1,3.296333
-0.75,1,3.299439
-0.75,1,3.30232
-0.75,1,3.304898
0.75,4,3.315127
0.75,1,3.31778
-0.75,1,3.320458
-0.75,1,3.323349
-0.25,2,3.328957
-0.75,1,3.332055
-0.25,2,3.338414
-0.75,1,3.341461
0.75,4,3.351538
-0.75,1,3.354295
0.75,1,3.357074
0.75,1,3.359813
-0.25,2,3.364921
-0.25,2,3.369976
-0.75,1,3.372582
0.25,3,3.38024
0.75,1,3.383074
0.75,4,3.393296
0.75,1,3.396017
-0.75,1,3.398825
-0.25,2,3.404011
-1.25,3,3.411575
-0.25,2,3.416737
0.25,3,3.424537
-0.25,2,3.429863
-0.25,2,3.435062
0.75,1,3.437776
-5.75,6,3.454113
0.75,1,3.457124
-0.25,2,3.462658
-0.25,2,3.471379
0.75,1,3.476208
-0.75,1,3.479005
0.75,1,3.481569
-0.75,1,3.484537
0.25,3,3.492963
-0.75,1,3.496219
0.25,3,3.505217
-1.25,3,3.513719
-0.25,2,3.519617
