#{"t_start": 1789380743.2197962, "env_id": "None"}
r,l,t
-0.25,1,4.796058
-0.25,1,4.799371
-0.25,2,4.805465
-0.25,1,4.808912
0.25,1,4.812266
0.25,2,4.818739
0.75,4,4.830795
-0.25,1,4.834066
-0.25,1,4.837225
-0.25,2,4.843656
-0.75,1,4.846805
-0.25,2,4.852923
-0.25,2,4.858754
-0.25,2,4.8648
-0.25,1,4.867656
-0.25,4,4.878687
-0.25,2,4.884503
-0.25,1,4.887499
0.25,1,4.890554
-0.25,2,4.896321
0.25,1,4.89948
-0.25,2,4.905565
0.0,3,4.913979
0.0,3,4.922672
-0.25,1,4.925797
-0.25,2,4.931301
-0.25,1,4.934
-0.25,3,4.942441
-0.25,1,4.945634
-0.25,1,4.948966
0.75,3,4.957323
-0.25,3,4.966385
0.25,1,4.969834
-0.25,1,4.972888
-0.25,1,4.975968
-0.25,1,4.978976
-0.75,2,4.984546
-0.25,2,4.99023
-0.25,2,4.995722
-0.25,1,4.998509
-0.25,2,5.004066
-0.25,2,5.009594
-0.25,1,5.012652
-0.25,3,5.020893
-0.25,5,5.034057
-0.75,2,5.039539
-0.75,2,5.045517
-0.25,1,5.048254
-0.25,2,5.053596
-0.25,3,5.06201
-0.25,1,5.065152
0.25,1,5.068452
-0.25,4,5.080471
-0.25,3,5.095894
-0.25,5,5.117662
-0.25,7,5.137392
0.25,1,5.140334
-0.25,2,5.145914
-0.25,1,5.148688
-0.25,2,5.154351
-0.75,1,5.157435
-0.25,2,5.165218
-0.25,2,5.171405
-0.25,1,5.174724
-0.25,1,5.178024
-0.75,1,5.181107
-0.25,1,5.184183
-0.25,1,5.187109
-0.25,1,5.190138
-0.25,4,5.200975
0.0,7,5.220427
-0.25,1,5.223809
-0.25,1,5.227326
-0.25,3,5.23667
-0.25,1,5.239823
-0.25,2,5.245877
-0.25,2,5.254531
-0.25,2,5.264682
-0.25,2,5.271827
-0.25,1,5.27498
0.25,1,5.278183
-0.25,1,5.281831
-0.25,2,5.287521
-0.25,1,5.292715
0.25,3,5.306916
-0.25,5,5.323455
-0.25,1,5.326546
-0.75,2,5.33271
-0.25,1,5.335651
0.25,2,5.341252
-0.25,1,5.344323
-0.75,1,5.347124
-0.25,5,5.360203
-0.25,1,5.363023
-0.25,2,5.368668
-0.75,3,5.376921
-0.25,2,5.382308
0.25,1,5.385919
-0.25,1,5.3895
-0.75,1,5.392595
-0.25,1,5.395606
0.25,1,5.398583
-0.25,2,5.404063
-0.25,1,5.406882
-0.25,2,5.412171
-0.25,1,5.415171
-0.25,1,5.418032
-0.25,3,5.425849
-0.25,2,5.431756
-0.25,2,5.437306
-0.25,1,5.440207
0.25,2,5.445645
-0.25,2,5.45186
-0.25,1,5.454719
-1.25,4,5.465564
-0.25,2,5.471131
0.0,7,5.489732
-0.25,1,5.49279
-0.25,2,5.498758
-0.25,1,5.501666
-0.25,1,5.504515
-0.25,1,5.507471
-0.25,1,5.510665
-0.25,1,5.513991
-0.25,2,5.519897
-0.75,1,5.52297
-0.25,3,5.530952
-0.25,2,5.536518
-0.25,1,5.539395
-0.75,1,5.542395
-0.25,1,5.5455
-0.25,1,5.54808
-0.25,2,5.553344
-0.75,3,5.560987
-0.25,7,5.579369
-0.25,2,5.585643
-0.25,3,5.594751
-0.25,1,5.597794
-0.25,1,5.601119
-0.25,1,5.604185
0.25,1,5.607266
-0.75,1,5.610264
-2.25,6,5.627999
-0.25,1,5.630993
-0.25,1,5.634067
-0.25,1,5.637212
-0.25,1,5.640695
-0.25,2,5.647069
-0.25,1,5.650701
0.25,1,5.653955
0.25,1,5.657322
-0.25,1,5.660577
-0.25,3,5.669437
-0.25,1,5.672627
-0.25,1,5.675787
0.0,3,5.684672
0.25,1,5.687844
-0.25,1,5.69098
-0.25,2,5.697005
-0.25,1,5.700291
-0.25,1,5.703523
-0.25,3,5.712288
-0.25,2,5.718501
-0.25,1,5.721666
-0.25,2,5.727515
-0.25,1,5.730688
-0.25,4,5.74238
-0.25,1,5.745315
-0.75,3,5.754582
-0.25,1,5.757865
-0.25,1,5.760911
-0.25,1,5.764273
-0.25,1,5.767551
-0.25,2,5.773373
-0.25,2,5.779354
-0.25,1,5.783077
-0.25,3,5.792848
-0.25,2,5.799735
-0.75,3,5.809116
-0.25,1,5.812412
-0.25,1,5.815464
0.25,1,5.818908
-0.25,1,5.821944
-0.75,1,5.825125
-0.25,1,5.828166
-0.25,3,5.837273
