#{"t_start": 1789001689.5854323, "env_id": "None"}
r,l,t
-1.75,5,2.728368
-0.25,2,2.73523
-0.25,2,2.741422
-1.25,3,2.750242
-0.75,1,2.754587
-1.25,3,2.765802
-0.25,2,2.772614
-0.75,1,2.776245
0.75,1,2.779922
-0.75,1,2.783642
0.75,1,2.787359
-0.25,2,2.799957
0.25,3,2.810737
-0.25,2,2.821971
-0.75,1,2.827133
-0.25,2,2.834507
-0.75,4,2.849636
0.75,1,2.853055
-0.75,1,2.856398
-0.25,2,2.862203
0.25,3,2.871701
-0.75,1,2.875185
0.25,3,2.885278
-0.75,1,2.889003
-4.25,6,2.908436
1.75,6,2.931218
-0.75,1,2.937823
0.25,3,2.948321
-0.75,7,2.983216
-0.25,2,2.990092
-0.75,1,2.9935
-0.75,1,2.996668
0.25,3,3.00665
-0.25,2,3.013135
0.25,3,3.022152
-0.75,1,3.025652
-0.75,1,3.029111
-0.75,1,3.032707
3.25,6,3.050191
0.75,1,3.054034
-0.75,1,3.057288
0.25,3,3.066164
-0.75,1,3.069271
-0.75,1,3.072289
0.25,3,3.08176
-0.75,1,3.085117
-0.25,2,3.09145
0.75,4,3.102812
-0.75,1,3.105636
-0.75,1,3.108536
-0.25,2,3.114512
-0.25,2,3.121185
-0.25,2,3.127132
0.75,4,3.139645
0.75,4,3.151075
-0.25,2,3.1571
-0.75,1,3.160505
-0.75,1,3.164231
-1.75,2,3.170075
5.75,14,3.208193
-0.75,1,3.211379
-0.75,1,3.21758
-0.75,1,3.223312
1.25,5,3.245161
-0.75,1,3.251348
-0.75,1,3.256652
-0.75,1,3.260247
-0.75,1,3.264218
-1.25,3,3.274232
-0.25,2,3.281098
0.75,1,3.284537
-0.25,2,3.29141
-0.25,2,3.298241
-0.75,1,3.301721
-0.25,2,3.308258
0.75,4,3.320984
-0.75,1,3.324801
-0.25,2,3.331252
0.25,3,3.340189
-0.75,1,3.343407
-0.25,2,3.349945
0.75,1,3.353549
-0.25,2,3.359852
0.75,1,3.36299
0.75,1,3.366496
-1.75,2,3.372889
-0.75,1,3.376332
-0.25,2,3.382901
-0.25,2,3.389191
-0.75,1,3.392358
-1.25,1,3.395941
-0.75,1,3.3994
-0.75,1,3.402944
-0.75,1,3.40617
-0.25,2,3.41303
-0.75,1,3.416697
-0.25,2,3.423596
-0.25,2,3.430697
-0.75,1,3.433901
-0.75,1,3.437119
0.75,1,3.439857
-0.75,1,3.443059
-0.25,2,3.449435
-0.75,1,3.452827
0.75,1,3.456559
-0.25,2,3.462395
-0.25,2,3.468085
-0.75,1,3.471371
-0.75,4,3.482263
-0.25,2,3.488598
0.25,3,3.497479
-0.75,1,3.500493
0.75,1,3.503202
-0.25,2,3.509029
0.25,3,3.517341
-1.75,2,3.523366
0.75,1,3.526857
-0.25,2,3.533047
0.75,1,3.53669
-0.25,2,3.543375
-0.75,1,3.546733
1.75,6,3.565105
-0.75,1,3.568921
-0.25,2,3.576252
0.75,4,3.589392
-0.75,1,3.592736
-0.75,1,3.596766
-0.75,1,3.600203
0.75,4,3.613344
-0.25,2,3.620183
-0.75,1,3.623961
-0.25,2,3.630667
-0.25,2,3.637602
-0.75,1,3.64108
-0.75,1,3.645425
-0.25,2,3.653049
-0.75,1,3.656985
-0.25,2,3.664314
-0.75,1,3.667694
0.75,4,3.68073
-0.75,1,3.68416
-0.25,2,3.690833
-0.25,2,3.696358
0.25,3,3.704505
-0.25,2,3.709773
-0.75,1,3.71251
1.75,6,3.727581
-0.25,2,3.732883
-0.25,2,3.738645
0.75,1,3.741417
-0.75,1,3.744477
-0.25,2,3.749879
0.75,1,3.752854
0.75,4,3.76437
-0.75,1,3.767278
-1.25,3,3.775057
-0.25,2,3.780488
-0.75,1,3.783316
-0.75,1,3.786329
-0.75,1,3.789205
-0.75,1,3.792017
-0.25,2,3.797662
0.25,3,3.805787
0.75,4,3.816116
0.75,1,3.818791
0.75,4,3.829445
-0.75,1,3.832209
-0.75,1,3.835227
-0.75,1,3.838008
-0.75,1,3.841073
-2.25,4,3.851396
-0.75,1,3.854274
-0.75,1,3.857233
-0.75,1,3.859942
-0.25,2,3.865463
-0.75,1,3.868273
-0.25,2,3.874273
-0.75,1,3.877859
0.75,4,3.888431
0.75,1,3.891294
0.75,1,3.894008
-0.75,1,3.896613
-0.25,2,3.902042
-0.25,2,3.907769
-0.75,1,3.910773
0.75,1,3.914229
-0.25,2,3.920864
0.75,1,3.924487
0.75,4,3.937259
-0.75,1,3.940799
0.75,1,3.944225
-0.25,2,3.950755
0.25,3,3.960063
-0.25,2,3.966253
0.25,3,3.976511
-0.25,2,3.983814
-0.25,2,3.990912
0.75,1,3.994241
0.25,6,4.013542
0.75,1,4.017155
-0.25,2,4.023216
-0.25,2,4.029872
0.75,1,4.03353
-0.75,1,4.037068
-0.75,1,4.040371
-0.75,1,4.043632
0.25,3,4.054218
0.75,1,4.05765
0.25,3,4.067415
0.25,3,4.076414
-0.25,2,4.082629
0.75,4,4.09471
-0.75,1,4.097919
-0.25,2,4.104896
-0.75,1,4.108722
-2.25,4,4.120372
-0.25,2,4.126101
-0.75,1,4.129111
-0.25,2,4.13455
-0.75,1,4.138048
-0.25,2,4.144217
-0.75,1,4.147639
0.25,3,4.157234
0.75,1,4.160716
0.75,1,4.164613
0.75,1,4.167956
