#{"t_start": 1788542983.2141814, "env_id": "None"}
r,l,t
-0.25,2,4.854676
-0.75,1,4.857363
1.25,3,4.86463
0.75,3,4.87243
-2.25,7,4.889197
-0.25,2,4.894208
-0.75,1,4.897104
-2.25,4,4.90819
0.75,4,4.919052
0.25,3,4.928332
-0.25,2,4.935374
0.25,6,4.952089
0.25,3,4.959652
-0.25,2,4.965208
-0.25,2,4.970241
-0.75,1,4.972953
1.25,3,4.980361
1.25,5,4.99306
-0.25,2,4.998074
-0.25,2,5.004744
-0.75,1,5.008165
-0.25,2,5.014353
0.25,3,5.023196
-0.25,2,5.02943
-3.75,4,5.04145
2.75,8,5.06178
-0.75,7,5.078524
-1.25,3,5.085974
0.25,3,5.094279
-0.75,1,5.097508
-0.25,2,5.10282
0.25,3,5.110884
-0.75,1,5.113857
-0.75,1,5.116868
0.25,3,5.125901
0.75,4,5.137913
2.75,8,5.160639
0.75,1,5.163804
-1.25,3,5.172265
-0.75,1,5.175464
-0.25,2,5.181307
-0.25,2,5.186914
-0.25,2,5.192119
-0.25,2,5.196924
-0.75,1,5.199757
-0.75,1,5.202799
-0.75,1,5.205565
-0.25,2,5.210415
-0.75,1,5.212903
0.25,3,5.220281
1.25,5,5.233986
-0.75,1,5.237212
-0.25,2,5.243394
-0.75,1,5.246357
-0.25,2,5.252083
-0.25,2,5.258594
1.25,5,5.273398
-0.75,1,5.276498
1.25,5,5.289271
-0.25,2,5.294443
-0.75,1,5.297139
-0.75,1,5.299651
-0.75,1,5.302626
0.75,1,5.306134
-0.75,1,5.309627
0.25,3,5.318074
0.25,3,5.327454
0.75,1,5.330627
0.25,3,5.340656
2.75,5,5.356237
-0.25,2,5.362503
-0.25,2,5.368587
-0.75,1,5.372202
0.75,4,5.383457
-0.25,2,5.390198
5.75,8,5.413069
0.25,3,5.421137
-0.75,1,5.424139
-0.75,1,5.427015
-0.75,1,5.429767
-1.25,3,5.437686
-0.75,1,5.440469
1.25,5,5.453211
-0.25,2,5.459732
-1.25,1,5.462731
-0.75,1,5.465633
-0.25,2,5.47147
6.25,10,5.500403
1.75,6,5.516521
-0.75,1,5.519501
-0.25,2,5.525073
-0.75,1,5.528078
1.75,6,5.54345
-0.75,1,5.546288
-0.75,1,5.548932
-0.25,2,5.554454
-0.25,2,5.56036
-0.75,1,5.563888
-0.75,1,5.567286
-0.25,2,5.573675
0.25,3,5.582855
-0.25,2,5.591622
0.75,4,5.602401
0.75,1,5.605488
-0.25,2,5.611316
-0.75,1,5.614601
-0.75,1,5.617558
0.25,3,5.62601
-0.25,2,5.631754
-0.75,1,5.634933
-0.25,2,5.640534
-0.75,1,5.643423
1.25,5,5.655819
-1.25,3,5.663926
-0.75,1,5.666725
-0.25,2,5.672454
-1.25,1,5.675354
-0.25,2,5.680917
-0.25,2,5.687406
-0.75,1,5.690967
0.25,3,5.702262
-0.25,2,5.712328
-1.25,3,5.721721
0.75,1,5.725127
-0.75,1,5.728615
-0.75,1,5.731714
-0.75,1,5.734697
-0.75,1,5.738218
1.75,6,5.752984
-0.25,2,5.758059
-1.25,3,5.765327
-1.25,3,5.772755
0.25,3,5.780341
-0.25,2,5.785294
-0.75,1,5.788439
-0.75,1,5.791289
-0.75,1,5.794147
7.75,10,5.820366
-0.25,2,5.826608
-1.25,1,5.830009
-0.25,2,5.83627
-0.25,2,5.846303
-0.25,2,5.85207
0.75,4,5.862675
0.25,3,5.869972
-0.25,2,5.874895
1.75,4,5.884346
-0.75,1,5.887145
-0.75,1,5.889783
1.75,3,5.896841
-0.25,2,5.901647
-0.25,2,5.906991
-0.25,2,5.912559
-0.75,1,5.915423
-0.25,2,5.921271
-0.75,1,5.924317
-1.25,1,5.927758
0.75,4,5.940158
0.25,3,5.94885
-0.25,2,5.954405
0.25,3,5.961936
0.75,1,5.964576
0.25,3,5.971849
-0.75,1,5.974482
-0.75,1,5.977016
-0.25,2,5.981782
0.25,3,5.989188
-0.25,2,5.993981
-1.25,1,5.996499
0.75,3,6.003844
-0.75,1,6.006539
-0.25,2,6.011411
0.75,4,6.021584
-1.25,1,6.024565
3.75,10,6.052444
-0.25,2,6.057973
0.75,4,6.071277
-0.25,2,6.076982
-0.75,1,6.080694
-1.25,1,6.083441
-0.75,1,6.086199
-0.25,3,6.094275
-0.25,2,6.09953
-0.75,1,6.102263
-0.25,2,6.110581
-0.75,1,6.11358
0.75,1,6.116383
-1.25,3,6.125013
0.75,1,6.128233
0.25,3,6.13682
-0.25,2,6.14254
-0.75,1,6.145525
0.25,3,6.153836
-0.75,1,6.157135
0.75,4,6.489163
-0.25,2,6.494688
-0.25,2,6.499867
0.75,4,6.510417
-0.75,1,6.513298
-0.75,1,6.516215
-0.75,1,6.519078
0.75,4,6.528873
-0.25,2,6.534814
0.75,4,6.555397
0.75,1,6.558854
1.75,6,6.578899
1.75,3,6.588737
0.25,3,6.597465
-3.25,5,6.612583
1.75,6,6.62939
-0.25,2,6.634676
-0.25,2,6.640322
0.75,1,6.64291
-0.75,1,6.645543
-0.25,2,6.650212
-0.25,2,6.655316
-0.25,2,6.661357
-0.25,2,6.666993
1.75,6,6.682897
0.75,4,6.69396
5.25,13,6.727411
0.25,3,6.734755
-3.75,4,6.744732
-0.25,2,6.74952
-3.25,5,6.761171
-1.25,3,6.768825
2.75,8,6.790084
-0.25,2,6.795747
1.25,3,6.804478
-0.25,2,6.810553
-0.25,2,6.816416
-0.75,1,6.819413
-0.75,1,6.822432
1.75,6,6.836791
0.75,1,6.839718
-0.25,8,6.859009
-1.25,3,6.866047
-0.25,2,6.871327
1.75,6,6.886946
-0.25,2,6.892468
-2.25,4,6.903271
0.75,1,6.906405
-0.75,4,6.916759
0.75,1,6.919908
0.25,3,6.928267
-0.25,2,6.93352
-0.25,2,6.939043
-0.25,2,6.944136
2.25,7,6.960078
-1.25,3,6.967139
-0.75,1,6.970156
5.75,8,6.991756
-0.75,1,6.994861
0.25,3,7.003191
0.25,3,7.011597
0.25,6,7.027192
1.25,5,7.039277
-1.25,1,7.041937
-0.75,1,7.044556
1.75,6,7.058778
-0.25,2,7.063651
1.25,5,7.076838
-0.25,2,7.08301
